Package/Bezeichnung/Footprint/Description;    ;                                                                   ;                    ;Packaging Type                                ;Mount Type   ;Length;Width
201                                      ;Enum;0201                                                               ;Elektronic Component;Two-terminal packages                         ;SMT          ;      ;
402                                      ;Enum;0402                                                               ;Elektronic Component;Two-terminal packages                         ;SMT          ;      ;
603                                      ;Enum;0603                                                               ;Elektronic Component;Two-terminal packages                         ;SMT          ;      ;
805                                      ;Enum;0805                                                               ;Elektronic Component;Two-terminal packages                         ;SMT          ;      ;
1206                                     ;Enum;                                                                   ;Elektronic Component;Two-terminal packages                         ;SMT          ;      ;
1210                                     ;Enum;                                                                   ;Elektronic Component;Two-terminal packages                         ;SMT          ;      ;
1812                                     ;Enum;                                                                   ;Elektronic Component;Two-terminal packages                         ;SMT          ;      ;
2010                                     ;Enum;                                                                   ;Elektronic Component;Two-terminal packages                         ;SMT          ;      ;
2512                                     ;Enum;                                                                   ;Elektronic Component;Two-terminal packages                         ;SMT          ;      ;
SIP                                      ;Enum;                                                                   ;Elektronic Component;Through-hole packages                         ;THT, Socket  ;      ;
DIP                                      ;Enum;                                                                   ;Elektronic Component;Through-hole packages                         ;THT, Socket  ;      ;
CDIP                                     ;Enum;                                                                   ;Elektronic Component;Through-hole packages                         ;THT, Socket  ;      ;
CERDIP                                   ;Enum;                                                                   ;Elektronic Component;Through-hole packages                         ;THT, Socket  ;      ;
QIP                                      ;Enum;                                                                   ;Elektronic Component;Through-hole packages                         ;THT, Socket  ;      ;
SKDIP                                    ;Enum;                                                                   ;Elektronic Component;Through-hole packages                         ;THT, Socket  ;      ;
SDIP                                     ;Enum;                                                                   ;Elektronic Component;Through-hole packages                         ;THT, Socket  ;      ;
ZIP                                      ;Enum;                                                                   ;Elektronic Component;Through-hole packages                         ;THT, Socket  ;      ;
MDIP                                     ;Enum;                                                                   ;Elektronic Component;Through-hole packages                         ;THT, Socket  ;      ;
PDIP                                     ;Enum;                                                                   ;Elektronic Component;Through-hole packages                         ;THT, Socket  ;      ;
CCGA                                     ;Enum;                                                                   ;Elektronic Component;Surface mount                                 ;SMT          ;      ;
CGA                                      ;Enum;                                                                   ;Elektronic Component;Surface mount                                 ;SMT          ;      ;
CERPACK                                  ;Enum;                                                                   ;Elektronic Component;Surface mount                                 ;SMT          ;      ;
CQGP                                     ;Enum;                                                                   ;Elektronic Component;Surface mount                                 ;SMT          ;      ;
LLP                                      ;Enum;                                                                   ;Elektronic Component;Surface mount                                 ;SMT          ;      ;
LGA                                      ;Enum;                                                                   ;Elektronic Component;Surface mount                                 ;SMT          ;      ;
LTCC                                     ;Enum;                                                                   ;Elektronic Component;Surface mount                                 ;SMT          ;      ;
MCM                                      ;Enum;                                                                   ;Elektronic Component;Surface mount                                 ;SMT          ;      ;
MICRO SMDXT                              ;Enum;                                                                   ;Elektronic Component;Surface mount                                 ;SMT          ;      ;
BCC                                      ;Enum;                                                                   ;Elektronic Component;Chip carrier                                  ;SMT          ;      ;
CLCC                                     ;Enum;                                                                   ;Elektronic Component;Chip carrier                                  ;SMT          ;      ;
LCC                                      ;Enum;                                                                   ;Elektronic Component;Chip carrier                                  ;SMT          ;      ;
LPCC                                     ;Enum;                                                                   ;Elektronic Component;Chip carrier                                  ;SMT          ;      ;
LCCC                                     ;Enum;                                                                   ;Elektronic Component;Chip carrier                                  ;SMT          ;      ;
DLCC                                     ;Enum;                                                                   ;Elektronic Component;Chip carrier                                  ;SMT          ;      ;
PLCC                                     ;Enum;                                                                   ;Elektronic Component;Chip carrier                                  ;SMT          ;      ;
OPGA                                     ;Enum;                                                                   ;Elektronic Component;Pin grid arrays                               ;PGA          ;      ;
FCPGA                                    ;Enum;FC-PGA                                                             ;Elektronic Component;Pin grid arrays                               ;PGA          ;      ;
PAC                                      ;Enum;                                                                   ;Elektronic Component;Pin grid arrays                               ;PGA          ;      ;
PGA                                      ;Enum;PPGA, SPGA                                                         ;Elektronic Component;Pin grid arrays                               ;PGA          ;      ;
SGA                                      ;Enum;                                                                   ;Elektronic Component;Pin grid arrays                               ;PGA          ;      ;
CPGA                                     ;Enum;                                                                   ;Elektronic Component;Pin grid arrays                               ;PGA          ;      ;
CFP                                      ;Enum;                                                                   ;Elektronic Component;Flat packages                                 ;SMT, Socket  ;      ;
CQFP                                     ;Enum;                                                                   ;Elektronic Component;Flat packages                                 ;SMT, Socket  ;      ;
BQFP                                     ;Enum;                                                                   ;Elektronic Component;Flat packages                                 ;SMT, Socket  ;      ;
DFN                                      ;Enum;CDFN,TDFN,UTDFN,XDFN,UDFN                                          ;Elektronic Component;Flat packages                                 ;SMT, Socket  ;      ;
MLF                                      ;Enum;MLPD,MLPM,MLPQ,DRMLF                                               ;Elektronic Component;Flat packages                                 ;SMT, Socket  ;      ;
ETQFP                                    ;Enum;                                                                   ;Elektronic Component;Flat packages                                 ;SMT, Socket  ;      ;
PQFN                                     ;Enum;                                                                   ;Elektronic Component;Flat packages                                 ;SMT, Socket  ;      ;
PQFP                                     ;Enum;                                                                   ;Elektronic Component;Flat packages                                 ;SMT, Socket  ;      ;
LQFP                                     ;Enum;                                                                   ;Elektronic Component;Flat packages                                 ;SMT, Socket  ;      ;
QFN                                      ;Enum;DQFN,QFN-TEP                                                       ;Elektronic Component;Flat packages                                 ;SMT, Socket  ;      ;
QFP                                      ;Enum;                                                                   ;Elektronic Component;Flat packages                                 ;SMT, Socket  ;      ;
MQFP                                     ;Enum;                                                                   ;Elektronic Component;Flat packages                                 ;SMT, Socket  ;      ;
HVQFN                                    ;Enum;                                                                   ;Elektronic Component;Flat packages                                 ;SMT, Socket  ;      ;
SIDEBRAZE                                ;Enum;                                                                   ;Elektronic Component;Flat packages                                 ;SMT, Socket  ;      ;
TQFP                                     ;Enum;                                                                   ;Elektronic Component;Flat packages                                 ;SMT, Socket  ;      ;
VQFP                                     ;Enum;                                                                   ;Elektronic Component;Flat packages                                 ;SMT, Socket  ;      ;
TQFN                                     ;Enum;                                                                   ;Elektronic Component;Flat packages                                 ;SMT, Socket  ;      ;
VQFN                                     ;Enum;                                                                   ;Elektronic Component;Flat packages                                 ;SMT, Socket  ;      ;
WQFN                                     ;Enum;                                                                   ;Elektronic Component;Flat packages                                 ;SMT, Socket  ;      ;
