Frontend Supply                                                                                                                                                                                                                                       ;Fertigungsmethode, für relevant                                          ;classes                               ;Sub classes (#)           ;Feldname [EN]                         ;ComparisonType;Datentyp Python Demand;Datentyp Python Supply;Recommender Typ              ;Abhängigkeiten zu anderen Preferences;Dominant Parent
Does your company have any of the following practices for encouraging the development and use of environmentally friendly technologies?                                                                                                               ;ALL                                                                        ;class SustanabilityProfile            ;TECHNOLOGY                ;environmental_tech                    ;IS_IN         ;list,bool           ;list,bool           ;SingleChoicePreferenceOrdered;-                                    ;-
Garantierte Standzeit/Zyklen                                                                                                                                                                                                                          ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;guaranteed_service                    ;IS_IN         ;int                   ;int,range           ;Parameter                    ;-                                    ;-
min. max. Bauteilhöhe [mm]                                                                                                                                                                                                                            ;ALL                                                                        ;class GeneralOrderParameters          ;GENRELL_PRODUCT_PARAMETER ;width                                 ;IS_IN         ;float                 ;range,float         ;Parameter                    ;-                                    ;-
Farbe (RAL Code)                                                                                                                                                                                                                                      ;PRIMARY_FORMING                                                            ;class InjectionMolding                ;GENERELL_INJECTION_MOLDING;ral_code                              ;IS_IN         ;str                   ;list,str            ;Parameter                    ;-                                    ;-
Letzte Bilanz                                                                                                                                                                                                                                         ;ALL                                                                        ;class Company                         ;COMPANY_PROFILE           ;balance                               ;IS_IN         ;int                   ;int                   ;ValueMagnitudePreference     ;-                                    ;-
Fertigungsmethoden der Abteilung                                                                                                                                                                                                                      ;ALL                                                                        ;class Department                      ;SKILLS_GENERELL           ;production_method                     ;INCLUSIVE     ;list,bool           ;list,bool           ;MultipleChoicePreference     ;-                                    ;-
max. Bauteil Breite                                                                                                                                                                                                                                   ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;"
part_width                           ";IS_IN         ;float                 ;float,range         ;Parameter                    ;-                                    ;-
Sichtfläche                                                                                                                                                                                                                                           ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;sighting_area                         ;IS_IN         ;float                 ;list,float          ;Parameter                    ;-                                    ;-
Anspritzpunkt                                                                                                                                                                                                                                         ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;injection_point                       ;IS_IN         ;int                   ;int,range           ;Parameter                    ;-                                    ;-
Formgebende Teile hart/nitr./Alu                                                                                                                                                                                                                      ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;"molding_parts
                        ";IS_IN         ;float,range         ;float,range         ;Parameter                    ;-                                    ;-
Bevorzugtes Auftragsvolumen in EUR                                                                                                                                                                                                                    ;ALL                                                                        ;class GeneralOrderParameters          ;PERFECT_ORDER             ;contract_volume                       ;IS_IN         ;float                 ;float                 ;ValueMagnitudePreference     ;-                                    ;-
Auswurfpostion                                                                                                                                                                                                                                        ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;ejection_position                     ;IS_IN         ;float                 ;float,range         ;Parameter                    ;-                                    ;-
min. max. Bauteillänge [mm]                                                                                                                                                                                                                           ;ALL                                                                        ;class GeneralOrderParameters          ;GENRELL_PRODUCT_PARAMETER ;length                                ;IS_IN         ;float                 ;range,float         ;Parameter                    ;-                                    ;-
max. Bauteil Länge                                                                                                                                                                                                                                    ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;part_length                           ;IS_IN         ;float                 ;float,range         ;Parameter                    ;-                                    ;-
Formhöhe                                                                                                                                                                                                                                              ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;mold_height                           ;IS_IN         ;float                 ;float,range         ;Parameter                    ;-                                    ;-
Aufbau                                                                                                                                                                                                                                                ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;structure                             ;IS_IN         ;float                 ;list,float          ;Parameter                    ;-                                    ;-
max Wandstärke                                                                                                                                                                                                                                        ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;max_wall_thickness                    ;IS_IN         ;float                 ;float,range         ;Parameter                    ;-                                    ;-
min. max. Bauteilbreite [mm]                                                                                                                                                                                                                          ;ALL                                                                        ;class GeneralOrderParameters          ;GENRELL_PRODUCT_PARAMETER ;height                                ;IS_IN         ;float                 ;range,float         ;Parameter                    ;-                                    ;-
max. Bauteil Höhe                                                                                                                                                                                                                                     ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;part_height                           ;IS_IN         ;float                 ;float,range         ;Parameter                    ;-                                    ;-
Optimale Stückzahl                                                                                                                                                                                                                                    ;ALL                                                                        ;class GeneralOrderParameters          ;PERFECT_ORDER             ;amount                                ;IS_IN         ;int                   ;list,int            ;Parameter                    ;-                                    ;-
Bauteilfunktion                                                                                                                                                                                                                                       ;PRIMARY_FORMING                                                            ;class InjectionMolding                ;GENERELL_INJECTION_MOLDING;component_function                    ;IS_IN         ;str                   ;list,str            ;Parameter                    ;-                                    ;-
pin_grid_array_size                                                                                                                                                                                                                                   ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;pin_grid_array_size                   ;IS_IN         ;float                 ;list,float          ;Parameter                    ;-                                    ;-
flat_package_size                                                                                                                                                                                                                                     ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;flat_package_size                     ;IS_IN         ;float                 ;float,list          ;Parameter                    ;-                                    ;-
through_hole_size                                                                                                                                                                                                                                     ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;through_hole_size                     ;IS_IN         ;float                 ;float,list          ;Parameter                    ;-                                    ;-
non_packaged_size                                                                                                                                                                                                                                     ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;non_packaged_size                     ;IS_IN         ;float                 ;float,list          ;Parameter                    ;-                                    ;-
t_capacitor_size                                                                                                                                                                                                                                      ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;t_capacitor_size                      ;IS_IN         ;float                 ;float,list          ;Parameter                    ;-                                    ;-
a_capacitor_size                                                                                                                                                                                                                                      ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;a_capacitor_size                      ;IS_IN         ;float                 ;float,list          ;Parameter                    ;-                                    ;-
component_size                                                                                                                                                                                                                                        ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;component_size                        ;IS_IN         ;float                 ;float,list          ;Parameter                    ;-                                    ;-
small_outline_ic_size                                                                                                                                                                                                                                 ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;small_outline_ic_size                 ;IS_IN         ;float                 ;float,list          ;Parameter                    ;-                                    ;-
small_count_size                                                                                                                                                                                                                                      ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;small_count_size                      ;IS_IN         ;float                 ;float,list          ;Parameter                    ;-                                    ;-
surface_mount_size                                                                                                                                                                                                                                    ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;surface_mount_size                    ;IS_IN         ;float                 ;float,list          ;Parameter                    ;-                                    ;-
ball_grid_array_size                                                                                                                                                                                                                                  ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;ball_grid_array_size                  ;IS_IN         ;float                 ;float,list          ;Parameter                    ;-                                    ;-
multi_chip_size                                                                                                                                                                                                                                       ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;multi_chip_size                       ;IS_IN         ;float                 ;float,list          ;Parameter                    ;-                                    ;-
two_terminal_size                                                                                                                                                                                                                                     ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;two_terminal_size                     ;IS_IN         ;float                 ;float,list          ;Parameter                    ;-                                    ;-
chip_scale_size                                                                                                                                                                                                                                       ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;chip_scale_size                       ;IS_IN         ;float                 ;float,list          ;Parameter                    ;-                                    ;-
chip_carrier_size                                                                                                                                                                                                                                     ;PCB_ASSEMBLY                                                               ;class PCBComponents                   ;PCB_COMPONENTS_GENRELL    ;chip_carrier_size                     ;IS_IN         ;float                 ;float,list          ;Parameter                    ;-                                    ;-
Bohrgröße                                                                                                                                                                                                                                             ;PCB_ASSEMBLY                                                               ;class PCBDrills                       ;METRIC_DATA               ;drill_sizes                           ;IS_IN         ;float                 ;float,range         ;Parameter                    ;-                                    ;-
drill_size_PTH                                                                                                                                                                                                                                        ;PCB_ASSEMBLY                                                               ;class PCBDrills                       ;METRIC_DATA               ;drill_size_PTH                        ;IS_IN         ;float                 ;float,range         ;Parameter                    ;-                                    ;-
drill_size_NPTH                                                                                                                                                                                                                                       ;PCB_ASSEMBLY                                                               ;class PCBDrills                       ;METRIC_DATA               ;drill_size_NPTH                       ;IS_IN         ;float                 ;float,range         ;Parameter                    ;-                                    ;-
drill_size_via                                                                                                                                                                                                                                        ;PCB_ASSEMBLY                                                               ;class PCBDrills                       ;METRIC_DATA               ;drill_size_via                        ;IS_IN         ;float                 ;float,range         ;Parameter                    ;-                                    ;-
beveling_type                                                                                                                                                                                                                                         ;PCB_ASSEMBLY                                                               ;class PCBPanel                        ;PCB_PANEL_GENRELL         ;beveling_type                         ;IS_IN         ;str                   ;list,str            ;Parameter                    ;-                                    ;-
board_contour_type                                                                                                                                                                                                                                    ;PCB_ASSEMBLY                                                               ;class PCBPanel                        ;PCB_PANEL_GENRELL         ;board_contour_type                    ;IS_IN         ;str                   ;list,str            ;Parameter                    ;-                                    ;-
board_type                                                                                                                                                                                                                                            ;PCB_ASSEMBLY                                                               ;class PCBMaterial                     ;PCB_MATERIAL              ;board_type                            ;IS_IN         ;str                   ;list,str            ;Parameter                    ;-                                    ;-
trace_width                                                                                                                                                                                                                                           ;PCB_ASSEMBLY                                                               ;class PCBMaterial                     ;PCB_MATERIAL              ;trace_width                           ;IS_IN         ;float                 ;range,float         ;Parameter                    ;-                                    ;-
prepreg_thickness                                                                                                                                                                                                                                     ;PCB_ASSEMBLY                                                               ;class PCBMaterial                     ;PCB_MATERIAL              ;prepreg_thickness                     ;IS_IN         ;float,range         ;range,float         ;Parameter                    ;-                                    ;-
core_thickness                                                                                                                                                                                                                                        ;PCB_ASSEMBLY                                                               ;class PCBMaterial                     ;PCB_MATERIAL              ;core_thickness                        ;IS_IN         ;float,range         ;range,float         ;Parameter                    ;-                                    ;-
board_surface                                                                                                                                                                                                                                         ;PCB_ASSEMBLY                                                               ;class PCBMaterial                     ;PCB_MATERIAL              ;board_surface                         ;IS_IN         ;str                   ;list,str            ;Parameter                    ;-                                    ;-
solder_color                                                                                                                                                                                                                                          ;PCB_ASSEMBLY                                                               ;class PCBMaterial                     ;PCB_MATERIAL              ;solder_color                          ;IS_IN         ;str                   ;list,str            ;Parameter                    ;-                                    ;-
core_material                                                                                                                                                                                                                                         ;PCB_ASSEMBLY                                                               ;class PCBMaterial                     ;PCB_MATERIAL              ;core_material                         ;IS_IN         ;str                   ;list,str            ;Parameter                    ;-                                    ;-
copper_layer_thickness                                                                                                                                                                                                                                ;PCB_ASSEMBLY                                                               ;class PCBMaterial                     ;PCB_MATERIAL              ;copper_layer_thickness                ;IS_IN         ;float                 ;range,float         ;Parameter                    ;-                                    ;-
prepreg_material                                                                                                                                                                                                                                      ;PCB_ASSEMBLY                                                               ;class PCBMaterial                     ;PCB_MATERIAL              ;prepreg_material                      ;IS_IN         ;str                   ;list,str            ;Parameter                    ;-                                    ;-
solder_mask_method                                                                                                                                                                                                                                    ;PCB_ASSEMBLY                                                               ;class PCBMaterial                     ;PCB_MATERIAL              ;solder_mask_method                    ;IS_IN         ;str                   ;list,str            ;Parameter                    ;-                                    ;-
copper_layer_material                                                                                                                                                                                                                                 ;PCB_ASSEMBLY                                                               ;class PCBMaterial                     ;PCB_MATERIAL              ;copper_layer_material                 ;IS_IN         ;str                   ;list,str            ;Parameter                    ;-                                    ;-
cti_value                                                                                                                                                                                                                                             ;PCB_ASSEMBLY                                                               ;class PCBMaterial                     ;PCB_MATERIAL              ;cti_value                             ;IS_IN         ;float,range         ;range,float         ;Parameter                    ;-                                    ;-
service_print                                                                                                                                                                                                                                         ;PCB_ASSEMBLY                                                               ;class PCBMaterial                     ;PCB_MATERIAL              ;service_print                         ;IS_IN         ;str                   ;list,str            ;Parameter                    ;-                                    ;-
Anzahl der Schüsse                                                                                                                                                                                                                                    ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;number_of_shots                       ;GREATER_EQU   ;int                   ;int                   ;Parameter                    ;-                                    ;-
Oberflächengüte                                                                                                                                                                                                                                       ;ALL                                                                        ;class GeneralOrderParameters          ;GENERELL_ORDER_PARAMETER  ;surface_finish                        ;GREATER_EQU   ;float                 ;float                 ;Parameter                    ;-                                    ;-
Formplattengröße                                                                                                                                                                                                                                      ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;molding_plate_size                    ;GREATER_EQU   ;float                 ;float                 ;Parameter                    ;-                                    ;-
Dauer der Haftübernahme                                                                                                                                                                                                                               ;ALL                                                                        ;class TermsAndConditions              ;LIABILITY                 ;duration_liability                    ;GREATER_EQU   ;int                   ;int                   ;Parameter                    ;-                                    ;-
Massgenauigkeit/ Toleranz in der Bearbeitung                                                                                                                                                                                                          ;ALL                                                                        ;class GeneralOrderParameters          ;GENRELL_PRODUCT_PARAMETER ;tolerance                             ;GREATER_EQU   ;float                 ;float                 ;Parameter                    ;-                                    ;-
Fachzahl                                                                                                                                                                                                                                              ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;compartment_number                    ;GREATER_EQU   ;int                   ;int                   ;Parameter                    ;-                                    ;-
Archivierung Prüfaufzeichnung in Jahren                                                                                                                                                                                                               ;ALL                                                                        ;class QualityAndCertification         ;COMPANY_PROFILE           ;archiving_test_record                 ;GREATER_EQU   ;int                   ;int                   ;Parameter                    ;-                                    ;-
panel_boundary                                                                                                                                                                                                                                        ;PCB_ASSEMBLY                                                               ;class PCBPanel                        ;PCB_PANEL_GENRELL         ;panel_boundary                        ;GREATER_EQU   ;float                 ;float                 ;Parameter                    ;-                                    ;-
solder_mask_clearance                                                                                                                                                                                                                                 ;PCB_ASSEMBLY                                                               ;class PCBMaterial                     ;PCB_MATERIAL              ;solder_mask_clearance                 ;GREATER_EQU   ;float                 ;float                 ;Parameter                    ;-                                    ;-
clearance                                                                                                                                                                                                                                             ;PCB_ASSEMBLY                                                               ;class PCBMaterial                     ;PCB_MATERIAL              ;clearance                             ;GREATER_EQU   ;float                 ;float                 ;Parameter                    ;-                                    ;-
Höhe  der Verzugszinsen in Prozent:                                                                                                                                                                                                                   ;ALL                                                                        ;class TermsAndConditions              ;FINANCE                   ;interest_arrears                      ;LESS_EQU      ;float                 ;float                 ;Parameter                    ;-                                    ;-
Genauigkeit ym                                                                                                                                                                                                                                        ;CHANGE_MATERIAL_PROPERTIES,COATING,FUSING,FORMING,PRIMARY_FORMING,CUTTING;class OrderParametersExclPCBAssembly  ;GENERELL_ORDER_PARAMETER  ;accuracy_ym                           ;LESS_EQU      ;float                 ;float                 ;Parameter                    ;-                                    ;-
Anzahl der unterschiedlichen Designs                                                                                                                                                                                                                  ;PCB_ASSEMBLY                                                               ;class PCBGeneral                      ;PCB_GENERELL              ;number_layers                         ;LESS_EQU      ;int                   ;int                   ;Parameter                    ;-                                    ;-
Oberflächengüte                                                                                                                                                                                                                                       ;CHANGE_MATERIAL_PROPERTIES,COATING,FUSING,FORMING,PRIMARY_FORMING,CUTTING;class OrderParametersExclPCBAssembly  ;GENERELL_ORDER_PARAMETER  ;surface_finish_pcb                    ;LESS_EQU      ;float                 ;float                 ;Parameter                    ;-                                    ;-
Dauer Archivierung Prüfaufzeichnung in Jahren                                                                                                                                                                                                         ;ALL                                                                        ;class QualityAndCertification         ;LIABILITY                 ;time_archiving                        ;LESS_EQU      ;int                   ;int                   ;Parameter                    ;-                                    ;-
Zahlungsfrist  ab Rechnungsdatum in Tagen:                                                                                                                                                                                                            ;ALL                                                                        ;class TermsAndConditions              ;FINANCE                   ;payment_term_from_invoice_date        ;LESS_EQU      ;int                   ;int                   ;Parameter                    ;-                                    ;-
Liefertermin ab verbindlicher Zusage in Tagen                                                                                                                                                                                                         ;ALL                                                                        ;class Department                      ;DETAILS_DEPARTMENT_FIGURES;delivery_binding_date                 ;LESS_EQU      ;int                   ;int                   ;Parameter                    ;-                                    ;-
Durchlaufzeiten durchschnttlich/Lieferzeit                                                                                                                                                                                                            ;ALL                                                                        ;class TermsAndConditions              ;DELIVERY_TIME             ;throughput_times                      ;LESS_EQU      ;int                   ;int                   ;Parameter                    ;-                                    ;-
Frühester Fertigungsstart ab verbindlicher Zusage                                                                                                                                                                                                     ;ALL                                                                        ;class Department                      ;DETAILS_DEPARTMENT_FIGURES;earliest_production_start             ;LESS_EQU      ;int                   ;int                   ;Parameter                    ;-                                    ;-
